Acc_X,Acc_Y,Acc_Z,Rot_X,Rot_Y,Rot_Z,tempC,time,lat,lng,alt,speed_kmh,satellite_amount;
8.28,0.70,-1.83,-0.19,0.80,1.13,29.43,20:51:31,48.223833667,15.630612000,266.50,4.13,6;
7.22,0.35,-0.66,-0.13,-0.16,0.28,29.43,20:51:31,48.223833667,15.630612000,266.50,4.13,6;
12.47,-0.70,1.47,-0.21,-0.20,-0.04,29.43,20:51:31,48.223833667,15.630612000,266.50,4.13,6;
10.11,0.69,-0.64,-0.53,0.46,0.41,29.43,20:51:34,48.223859167,15.630652333,266.50,6.04,6;
7.30,1.25,-0.65,0.24,-0.11,-0.10,29.44,20:51:35,48.223865167,15.630662333,266.50,5.09,6;
9.60,1.50,0.67,0.04,-0.23,-0.40,29.42,20:51:36,48.223872333,15.630673167,267.80,5.00,6;
10.93,1.32,0.05,0.16,0.15,0.25,29.43,20:51:37,48.223877000,15.630674667,268.70,4.30,6;
8.62,-0.16,-0.29,-0.12,-0.09,-0.05,29.42,20:51:38,48.223886500,15.630688667,268.70,4.56,6;
10.05,-1.08,-0.44,-0.13,0.07,-0.22,29.44,20:51:39,48.223890167,15.630707333,269.40,4.19,6;
10.34,-1.09,-2.43,-0.02,0.07,-0.10,29.44,20:51:40,48.223892167,15.630721000,268.60,4.19,6;
8.33,0.10,0.71,0.06,-0.29,0.29,29.44,20:51:41,48.223889833,15.630747500,270.00,3.61,6;
11.97,2.70,0.78,0.41,0.45,-0.74,29.43,20:51:42,48.223889500,15.630759333,270.80,4.07,6;
8.27,2.07,-0.85,0.09,-0.08,-0.35,29.43,20:51:43,48.223898000,15.630772500,271.80,4.19,6;
8.99,2.46,1.57,-0.61,-0.16,-0.19,29.44,20:51:45,48.223905500,15.630800000,271.20,4.19,6;
12.47,0.80,-0.41,-0.22,0.01,0.29,29.43,20:51:45,48.223905500,15.630800000,271.20,4.19,6;
7.04,-0.67,-0.34,0.17,-0.12,-0.03,29.44,20:51:45,48.223905500,15.630800000,271.20,4.19,6;
8.94,-0.75,0.76,0.24,-0.40,-0.41,29.43,20:51:48,48.223913167,15.630850500,271.20,4.72,6;
9.58,1.25,-1.63,0.48,0.36,0.38,29.43,20:51:49,48.223924333,15.630864000,272.50,4.35,6;
9.05,1.86,-0.81,-0.13,0.12,0.04,29.43,20:51:50,48.223927667,15.630878167,272.70,3.70,6;
10.68,1.02,0.04,-0.75,-0.23,-0.25,29.42,20:51:51,48.223929833,15.630892000,272.70,4.20,6;
8.76,2.30,-0.95,-0.27,-0.11,0.17,29.42,20:51:52,48.223934167,15.630906167,272.70,4.44,6;
7.35,2.90,-1.09,-0.42,0.55,-0.17,29.41,20:51:53,48.223938500,15.630915333,272.00,3.48,6;
8.84,-4.10,1.68,3.42,-0.74,-0.57,29.41,20:51:54,48.223942500,15.630925667,272.20,3.07,6;
9.05,-1.32,2.51,0.60,-2.57,-0.52,29.42,20:51:55,48.223945000,15.630927333,271.90,1.80,6;
8.99,-1.56,4.11,-0.23,-0.07,0.71,29.40,20:51:57,48.223954667,15.630937167,271.30,3.61,6;
7.64,-3.27,2.81,1.60,-0.18,-0.25,29.40,20:51:57,48.223954667,15.630937167,271.00,3.61,6;
10.65,-2.66,3.67,0.74,0.24,0.29,29.39,20:51:57,48.223954667,15.630937167,271.00,3.61,6;
8.62,-2.89,3.05,-0.42,-0.11,0.11,29.39,20:51:57,48.223954667,15.630937167,271.00,3.61,6;
6.68,-2.09,1.23,-0.38,-0.05,-0.21,29.39,20:51:57,48.223954667,15.630937167,271.00,3.61,6;
8.81,-1.74,3.12,-1.02,0.64,-0.22,29.39,20:52:02,48.223973333,15.631013500,271.00,4.48,6;
11.74,-0.07,6.44,0.04,-0.76,-0.05,29.39,20:52:03,48.223978833,15.631024333,270.10,3.83,6;
6.39,-2.37,2.31,0.12,-0.31,0.13,29.37,20:52:04,48.223982167,15.631037833,269.40,4.43,6;
7.96,-3.10,3.10,1.18,0.29,-0.00,29.38,20:52:05,48.223988333,15.631052833,269.30,4.67,6;
12.83,-3.30,5.40,0.01,-0.24,0.14,29.37,20:52:06,48.223992000,15.631067167,270.30,3.37,6;
